"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.784240723E-1,9.527923584E0,1.169631958E0,9.611360795E0
4.974365000E-3,-3.874359131E-1,9.573425293E0,1.181610107E0,9.653847983E0
9.979248000E-3,-2.509765625E-1,9.654815674E0,1.160064697E0,9.727497367E0
1.498413100E-2,-1.001434326E-1,9.714675903E0,1.114578247E0,9.778918206E0
1.995849600E-2,-6.661987305E-2,9.784103394E0,1.136123657E0,9.850070781E0
2.496337900E-2,1.957702637E-2,9.827209473E0,1.054718018E0,9.883666292E0
2.993774400E-2,1.201324463E-1,9.820022583E0,9.493713379E-1,9.866538465E0
3.494262700E-2,2.230834961E-1,9.848754883E0,6.812286377E-1,9.874806907E0
3.991699200E-2,3.763122559E-1,9.889450073E0,3.843383789E-1,9.904067329E0
4.489135700E-2,5.008087158E-1,9.918182373E0,1.880187988E-1,9.932597949E0
4.986572300E-2,4.744720459E-1,9.870300293E0,4.197692871E-2,9.881786967E0
5.487060500E-2,4.672851562E-1,9.829605103E0,7.069396973E-2,9.840959787E0
5.984497100E-2,4.217987061E-1,9.796081543E0,2.957611084E-1,9.809617851E0
6.481933600E-2,3.451843262E-1,9.822418213E0,4.178619385E-1,9.837360437E0
6.982421900E-2,1.871643066E-1,9.712280273E0,5.830535889E-1,9.731565654E0
7.479858400E-2,7.225036621E-2,9.587783813E0,7.554473877E-1,9.617771016E0
7.977294900E-2,-5.943298340E-2,9.460891724E0,8.416290283E-1,9.498439025E0
8.474731400E-2,-1.719665527E-1,9.403427124E0,9.493713379E-1,9.452794302E0
8.972168000E-2,-2.461853027E-1,9.398635864E0,9.900665283E-1,9.453845516E0
9.469604500E-2,-2.773132324E-1,9.362731934E0,8.655700684E-1,9.406745635E0
9.967041000E-2,-3.587188721E-1,9.374694824E0,8.847351074E-1,9.423180911E0
1.046752930E-1,-3.204040527E-1,9.408218384E0,8.775482178E-1,9.454486913E0
1.096496580E-1,-2.509765625E-1,9.415405273E0,9.661254883E-1,9.468170053E0
1.146240230E-1,-2.174530029E-1,9.420196533E0,9.876861572E-1,9.474329131E0
1.195983890E-1,-1.552124023E-1,9.494415283E0,1.037963867E0,9.552244838E0
1.245727540E-1,-1.863250732E-1,9.499206543E0,1.066680908E0,9.560724352E0
1.295471190E-1,-7.141113281E-2,9.482437134E0,1.215133667E0,9.560243897E0
1.345214840E-1,-2.113342285E-2,9.470474243E0,1.286956787E0,9.557540833E0
1.394958490E-1,3.153991699E-2,9.420196533E0,1.212738037E0,9.497990895E0
1.445007320E-1,-1.634216309E-2,9.441741943E0,1.219909668E0,9.520238316E0
1.494750980E-1,-6.759643555E-3,9.513565063E0,1.215133667E0,9.590855840E0
1.544494630E-1,-3.070068359E-2,9.616516113E0,1.112182617E0,9.680665001E0
1.594238280E-1,2.435302734E-2,9.657211304E0,1.054718018E0,9.714666918E0
1.643981930E-1,5.068969727E-2,9.712280273E0,1.006835938E0,9.764459850E0
1.693725580E-1,8.660888672E-2,9.762557983E0,8.990936279E-1,9.804254629E0
1.743469240E-1,2.914428711E-2,9.764953613E0,7.889556885E-1,9.796816806E0
1.793212890E-1,1.239013672E-2,9.707489014E0,7.027740479E-1,9.732902333E0
1.842956540E-1,4.591369629E-2,9.700317383E0,6.429138184E-1,9.721707853E0
1.893005370E-1,4.119873047E-4,9.752990723E0,5.830535889E-1,9.770403251E0
1.942749020E-1,6.506347656E-2,9.798477173E0,6.333312988E-1,9.819139305E0
1.992492670E-1,1.536407471E-1,9.812835693E0,6.501007080E-1,9.835546795E0
2.042236330E-1,1.871643066E-1,9.808044434E0,6.716461182E-1,9.832795869E0
2.091979980E-1,2.278594971E-1,9.810440063E0,7.075653076E-1,9.838562032E0
2.141723630E-1,2.063140869E-1,9.764953613E0,7.626190186E-1,9.796860331E0
2.191467280E-1,1.416778564E-1,9.702713013E0,8.583984375E-1,9.741640534E0
2.241210940E-1,1.129455566E-1,9.662002563E0,9.733123779E-1,9.711559464E0
2.290954590E-1,8.421325684E-2,9.614120483E0,1.037963867E0,9.670355398E0
2.341003420E-1,3.633117676E-2,9.590179443E0,1.157669067E0,9.659868497E0
2.390747070E-1,3.633117676E-2,9.554260254E0,1.212738037E0,9.630988656E0
2.440490720E-1,-2.592468262E-2,9.436950684E0,1.083450317E0,9.498977570E0
2.490234370E-1,-3.549194336E-2,9.326812744E0,1.004440308E0,9.380809985E0
2.539978030E-1,-7.859802246E-2,9.326812744E0,9.709167480E-1,9.377541946E0
2.589721680E-1,-6.901550293E-2,9.329208374E0,1.028381348E0,9.385971459E0
2.639465330E-1,-3.309631348E-2,9.381881714E0,1.030776978E0,9.438395046E0
2.689208980E-1,3.393554688E-2,9.405822754E0,9.421844482E-1,9.452955349E0
2.739257810E-1,1.957702637E-2,9.413009644E0,8.440246582E-1,9.450794222E0
2.789001460E-1,2.435302734E-2,9.492019653E0,7.841796875E-1,9.524388062E0
2.838745120E-1,-3.309631348E-2,9.501586914E0,7.889556885E-1,9.534343204E0
2.888488770E-1,1.478576660E-2,9.530319214E0,6.931915283E-1,9.555507178E0
2.938232420E-1,8.900451660E-2,9.563842773E0,6.117858887E-1,9.583803648E0
2.987976070E-1,1.512451172E-1,9.654815674E0,5.136260986E-1,9.669651108E0
3.037719730E-1,2.111053467E-1,9.769744873E0,3.819427490E-1,9.779486726E0
3.087463380E-1,2.015380859E-1,9.858337402E0,3.005371094E-1,9.864976254E0
3.137207030E-1,1.823730469E-1,9.877487183E0,2.765960693E-1,9.883041959E0
3.186950680E-1,1.823730469E-1,9.920578003E0,3.675842285E-1,9.929060681E0
3.236999510E-1,2.278594971E-1,9.939727783E0,5.591125488E-1,9.958047760E0
3.286743160E-1,1.344909668E-1,9.927764893E0,8.033294678E-1,9.961121514E0
3.336486820E-1,7.702636719E-2,9.889450073E0,1.045135498E0,9.944820965E0
3.386230470E-1,3.393554688E-2,9.779327393E0,1.224700928E0,9.855774360E0
3.435974120E-1,-5.226135254E-2,9.726654053E0,1.303710938E0,9.813775651E0
3.485717770E-1,-5.226135254E-2,9.645248413E0,1.303710938E0,9.733098705E0
3.535461420E-1,-4.507446289E-2,9.673980713E0,1.399475098E0,9.774787215E0
3.585205080E-1,2.674865723E-2,9.695526123E0,1.425811768E0,9.799840891E0
3.634948730E-1,5.203247070E-3,9.688339233E0,1.334838867E0,9.779863955E0
3.684997560E-1,3.633117676E-2,9.676376343E0,1.263015747E0,9.758523857E0
3.734741210E-1,7.225036621E-2,9.590179443E0,1.198364258E0,9.665031752E0
3.784484860E-1,8.421325684E-2,9.611724854E0,1.114578247E0,9.676498912E0
3.834228510E-1,1.177368164E-1,9.592575073E0,1.028381348E0,9.648260293E0
3.883972170E-1,5.203247070E-3,9.563842773E0,9.350128174E-1,9.609441432E0
3.933715820E-1,9.994506836E-3,9.566238403E0,8.655700684E-1,9.605322932E0
3.983459470E-1,-6.182861328E-2,9.511169434E0,8.560028076E-1,9.549811913E0
4.033203120E-1,-4.364013672E-3,9.527923584E0,8.176879883E-1,9.562947271E0
4.082946780E-1,-3.549194336E-2,9.515960693E0,8.464202881E-1,9.553595915E0
4.132995600E-1,-5.943298340E-2,9.551864624E0,8.799438477E-1,9.592494527E0
4.182739260E-1,-2.592468262E-2,9.537506104E0,9.134521484E-1,9.581184143E0
4.232482910E-1,3.872680664E-2,9.530319214E0,9.709167480E-1,9.579726688E0
4.282226560E-1,9.619140625E-2,9.520751953E0,9.924621582E-1,9.572823600E0
4.331970210E-1,1.392822266E-1,9.551864624E0,9.804992676E-1,9.603067018E0
4.381713870E-1,7.942199707E-2,9.559051514E0,9.996490479E-1,9.611507265E0
4.431457520E-1,1.153411865E-1,9.662002563E0,1.069076538E0,9.721652214E0
4.481201170E-1,1.536407471E-1,9.743408203E0,1.028381348E0,9.798733443E0
4.530944820E-1,1.368865967E-1,9.774536133E0,9.948577881E-1,9.825987817E0
4.580993650E-1,1.201324463E-1,9.781723022E0,9.685211182E-1,9.830288411E0
4.630737300E-1,5.308532715E-2,9.788894653E0,8.631744385E-1,9.827021252E0
4.680480960E-1,8.421325684E-2,9.748199463E0,8.416290283E-1,9.784826215E0
4.730224610E-1,2.914428711E-2,9.731430054E0,8.871154785E-1,9.771824505E0
4.779968260E-1,-1.634216309E-2,9.717071533E0,1.023590088E0,9.770848628E0
4.829711910E-1,4.351806641E-2,9.685943604E0,1.109786987E0,9.749411494E0
4.879455570E-1,1.057586670E-1,9.690734863E0,1.160064697E0,9.760495745E0
4.929199220E-1,8.421325684E-2,9.705093384E0,1.172027588E0,9.775969421E0
4.978942870E-1,9.858703613E-2,9.635665894E0,1.210342407E0,9.711884748E0
5.028991700E-1,3.153991699E-2,9.640457153E0,1.207946777E0,9.715891329E0
5.078735350E-1,-1.983642578E-3,9.614120483E0,1.102600098E0,9.677140258E0
5.128479000E-1,9.994506836E-3,9.597366333E0,9.804992676E-1,9.647327051E0
5.178222650E-1,1.225280762E-1,9.606933594E0,9.374084473E-1,9.653337288E0
5.227966310E-1,2.158966064E-1,9.594970703E0,9.852905273E-1,9.647842845E0
5.277709960E-1,2.326507568E-1,9.602157593E0,8.943023682E-1,9.646519245E0
5.327453610E-1,1.560363770E-1,9.590179443E0,8.966979980E-1,9.633273400E0
5.377197260E-1,1.728057861E-1,9.609329224E0,9.445800781E-1,9.657189109E0
5.426940920E-1,1.536407471E-1,9.551864624E0,8.009338379E-1,9.586616624E0
5.476989740E-1,2.039184570E-1,9.520751953E0,7.338867188E-1,9.551172190E0
5.526733400E-1,2.182922363E-1,9.523147583E0,7.410736084E-1,9.554432557E0
5.576477050E-1,2.206878662E-1,9.594970703E0,8.009338379E-1,9.630870207E0
5.626220700E-1,2.278594971E-1,9.664398193E0,8.033294678E-1,9.700404663E0
5.675964350E-1,2.541961670E-1,9.697921753E0,7.410736084E-1,9.729516540E0
5.725708010E-1,2.661743164E-1,9.592575073E0,7.745971680E-1,9.627478698E0
5.775451660E-1,2.230834961E-1,9.599761963E0,7.530517578E-1,9.631836945E0
5.825195310E-1,2.446289062E-1,9.594970703E0,8.128967285E-1,9.632450736E0
5.874938960E-1,2.733612061E-1,9.662002563E0,9.254302979E-1,9.710069059E0
5.924987790E-1,2.063140869E-1,9.621307373E0,1.049926758E0,9.680623289E0
5.974731440E-1,8.181762695E-2,9.712280273E0,1.184005737E0,9.784526142E0
6.024475100E-1,1.957702637E-2,9.712280273E0,1.270202637E0,9.795008224E0
6.074218750E-1,7.598876953E-3,9.695526123E0,1.303710938E0,9.782788291E0
6.123962400E-1,-3.549194336E-2,9.539901733E0,1.315689087E0,9.630265964E0
6.173706050E-1,-1.073150635E-1,9.477645874E0,1.313293457E0,9.568804917E0
6.223449710E-1,-1.384429932E-1,9.427368164E0,1.344421387E0,9.523754818E0
6.273193360E-1,-1.288757324E-1,9.472869873E0,1.294143677E0,9.561729992E0
6.322937010E-1,-8.337402344E-2,9.511169434E0,1.241470337E0,9.592212665E0
6.372985840E-1,-1.983642578E-3,9.566238403E0,1.198364258E0,9.641006069E0
6.422729490E-1,1.320953369E-1,9.609329224E0,1.133728027E0,9.676879484E0
6.472473140E-1,6.506347656E-2,9.695526123E0,1.033172607E0,9.750636169E0
6.522216800E-1,1.153411865E-1,9.707489014E0,9.374084473E-1,9.753326670E0
6.571960450E-1,1.967468262E-1,9.755386353E0,8.272705078E-1,9.792377071E0
6.621704100E-1,2.398376465E-1,9.676376343E0,6.644592285E-1,9.702127977E0
6.671447750E-1,2.302551270E-1,9.702713013E0,7.195281982E-1,9.732079842E0
6.721191400E-1,2.685699463E-1,9.776931763E0,7.075653076E-1,9.806180356E0
6.770935060E-1,3.212432861E-1,9.817626953E0,6.979827881E-1,9.847648258E0
6.820983890E-1,3.571472168E-1,9.841567993E0,6.237640381E-1,9.867780717E0
6.870727540E-1,4.313812256E-1,9.827209473E0,4.896850586E-1,9.848854108E0
6.920471190E-1,4.026489258E-1,9.836776733E0,4.489898682E-1,9.855247057E0
6.970214840E-1,3.356018066E-1,9.827209473E0,4.896850586E-1,9.845123973E0
7.019958490E-1,2.589874268E-1,9.784103394E0,6.165771484E-1,9.806932297E0
7.069702150E-1,1.847686768E-1,9.717071533E0,6.716461182E-1,9.742008374E0
7.119445800E-1,6.745910645E-2,9.709884644E0,7.650146484E-1,9.740208311E0
7.169189450E-1,4.119873047E-4,9.604537964E0,9.230346680E-1,9.648789700E0
7.218933100E-1,-8.576965332E-2,9.501586914E0,1.061904907E0,9.561127149E0
7.268981930E-1,-1.121063232E-1,9.403427124E0,1.181610107E0,9.478038402E0
7.318725580E-1,-1.408386230E-1,9.360336304E0,1.207946777E0,9.439007715E0
7.368469240E-1,-1.671752930E-1,9.369918823E0,1.172027588E0,9.444415016E0
7.418212890E-1,-1.264801025E-1,9.453704834E0,1.169631958E0,9.526624335E0
7.467956540E-1,-1.336517334E-1,9.503982544E0,1.112182617E0,9.569769964E0
7.517700190E-1,-1.049346924E-1,9.551864624E0,1.059509277E0,9.611019144E0
7.567443850E-1,-9.155273438E-3,9.549484253E0,9.900665283E-1,9.600675239E0
7.617187500E-1,2.674865723E-2,9.556655884E0,1.037963867E0,9.612895306E0
7.666931150E-1,4.112243652E-2,9.544692993E0,1.066680908E0,9.604200308E0
7.716979980E-1,8.421325684E-2,9.590179443E0,1.104995728E0,9.653996540E0
7.766723630E-1,6.266784668E-2,9.544692993E0,1.083450317E0,9.606193637E0
7.816467280E-1,4.591369629E-2,9.525543213E0,1.057113647E0,9.584131199E0
7.866210940E-1,1.478576660E-2,9.532714844E0,1.085845947E0,9.594369825E0
7.915954590E-1,-4.028320312E-2,9.547088623E0,1.172027588E0,9.618844659E0
7.965698240E-1,-3.549194336E-2,9.599761963E0,1.128936768E0,9.665980946E0
8.015441890E-1,-3.309631348E-2,9.590179443E0,1.109786987E0,9.654235562E0
